Título,Vínculo,Fecha,Contenido
"Sobrecarga de partidos,  causa de las lesiones en América, lamenta Reyes",https://www.jornada.com.mx/2023/10/20/deportes/a11n2dep?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","La sobrecarga de juegos por la Liga Mx, Leagues Cup y de selecciones ha sido la principal causa de lesiones, al menos en el América. El defensa Israel Reyes, quien apenas se recuperó de un desgarro en el muslo derecho, reconoció que la exigencia que impera en la actual industria del futbol también ha dejado repercusiones en la salud de los jugadores, tal es su caso y ahora el de su compañero Diego Valdés."
Enrique Galván Ochoa: Dinero,https://www.jornada.com.mx/2023/10/20/opinion/014o1pol?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","El pleno de la Cámara de Diputados aprobó la eliminación de 13 de 14 fideicomisos del Poder Judicial de la Federación, como parte de un recorte de unos 15 mil millones de pesos. Esta medida ha generado tensión entre los poderes Legislativo y Ejecutivo, de un lado, y el Judicial, del otro. Organizaciones sindicales llamaron a un paro de labores temporal. Este es el tema central del sondeo de opinión de esta semana."
"Se fortalecen la bandas criminales en Haití, revela la ONU",https://www.jornada.com.mx/2023/10/20/mundo/029n2mun?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Puerto Príncipe., Las bandas haitianas controlan escuelas, clínicas y fundaciones en lugar de un gobierno cada vez más ausente, señala un reporte de la Organización de Naciones Unidas (ONU), cuyo Consejo de Seguridad renovó ayer el régimen de sanciones contra la nación caribeña, el cual incluye un embargo de armas, prohibición de viajes y congelación de activos."
Remplazan el debate en San Lázaro con acusaciones e insultos,https://www.jornada.com.mx/2023/10/20/politica/018n2pol?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Dedicados a ventilar sus expedientes de corrupción y a promocionar a sus virtuales candidatas presidenciales, Morena y el PAN se olvidaron de la discusión de la Ley de Ingresos y, en un agrio debate, Karla Rabelo, del partido mayoritario, llamó a la oposición “¡asesinos del Prian!”"
Precios del petróleo al alza por nerviosismo sobre Medio Oriente,https://www.jornada.com.mx/2023/10/20/economia/027n1eco?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Los precios del petróleo subieron alrededor de uno por ciento la jornada de este jueves, mientras los operadores siguen temerosos de que la campaña militar de Israel en la franja de Gaza escale a un conflicto regional."
Julio Hernández López: Astillero,https://www.jornada.com.mx/2023/10/20/opinion/016o1pol?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","No es alentador el  nombramiento del sucesor de Alejandro Encinas en la subsecretaría de Gobernación que debe dar continuidad, cuando menos, a los maltrechos procesos en busca de verdad y justicia en casos como Ayotzinapa y guerra sucia, entre otros."
Julio Boltvinik: Economía moral,https://www.jornada.com.mx/2023/10/20/opinion/026o1eco?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Estoy en un momento del desarrollo    de mis investigaciones sobre pobreza y florecimiento humano en el que se me entrecruzan tres líneas de actividad: 1.- La presentación presencial de mi libro Pobreza y Florecimiento Humano. Una perspectiva Radical (PFH, UAZ-Editorial Ítaca), lo que he hecho en lo que va del año en la Feria del Libro del Palacio de Minería 2023, El Colegio de México, la Escuela de Estudios Superiores de Economía (IPN), la Universidad de Guadalajara, la Universidad Autónoma de Zacatecas y la Universidad Autónoma de Tamaulipas. 2.- Revisión de las correcciones editoriales de mi nuevo libro que está en fase editorial tanto en inglés (Policy Press, Gran Bretaña) como en español (Siglo XXI editores-El Colegio de México), que se titula: De la Pobreza al Bien-Estar/Florecimiento Humano. Crítica de la Economía Política de la Pobreza. Vol. 1. Conceptualización y Medición Integradas de la Pobreza, que estará circulando a inicios de 2024. 3.- Preparación del manuscrito final del vol. 2 de la obra anterior en inglés, versión revisada y ampliada de PFH. El Vol. 1 de la nueva obra, del que ya hablé en las entregas 31ª a 38ª de Economía Moral, publicadas entre el 23/09/2022 y el 14/04/2023, es una recopilación de trabajos míos en español (algunos inéditos) sobre conceptualización y medición de la pobreza."
"Pese al clima e inundaciones, el cultivo de cempasúchil floreció en Xochimilco",https://www.jornada.com.mx/2023/10/20/capital/036n1cap?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Con una ceremonia prehispánica, productores de cempasúchil en los ejidos de Xochimilco y San Gregorio Atlapulco agradecieron a la tierra por las más de 5 millones de plantas cultivadas este año y para pedir que su trabajo de cuatro meses fructifique con la venta de su producción, al iniciar la temporada para comercializar sus flores."
Inquebrantable dominio de la derecha en la Suprema Corte de Justicia de EU,https://www.jornada.com.mx/2023/10/20/mundo/028n1mun?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Washington y Nueva York., El momento culminante para la agrupación semisecreta de empresarios y activistas ultraconservadores que encabeza la estrategia de conquistar la Suprema Corte fue en 2016, cuando el entonces candidato presidencial Donald Trump les pidió una lista de posibles candidatos al máximo tribunal aceptables para el ala conservadora y se comprometió públicamente a nombrar sólo a togados de ese listado."
Penultimátum,https://www.jornada.com.mx/2023/10/20/opinion/a05o1cul?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","“Si los palestinos no tienen un hogar, los israelíes tampoco lo tendrán... Cuando Israel ocupa y oprime a otra nación durante 51 años, y establece el apartheid en los territorios ocupados, se convierte mucho menos en un hogar.”"
La inflación se estabilizó; hay crisis en agua y comida: Nestlé,https://www.jornada.com.mx/2023/10/20/economia/026n1eco?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Lima. Los dos conflictos –Rusia-Ucrania e Israel-Hamas–, “dramatizan” el impacto de la inflación en el mundo. Sin embargo, las economías ya están en un periodo de estabilización en los precios al consumidor, pero ahora siguen enfrentando crisis en alimentos, agua y tierra, aseguró Laurent Freixe, director ejecutivo de Nestlé para América Latina."
Putin acusa al  COI de discriminar  a los atletas rusos,https://www.jornada.com.mx/2023/10/20/deportes/a10n3dep?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Perm. El presidente de Rusia, Vladimir Putin, denunció la discriminación de la que son objeto los deportistas de su país por parte del Comité Olímpico Internacional (COI). “Por algunos miembros del COI supimos que la invitación a los Juegos no es un derecho incondicional de los mejores atletas, sino un privilegio que se otorga por gestos políticos y no por méritos deportivos. De hecho, esto es discriminación por motivos étnicos”, señaló el mandatario en un foro internacional."
"Tasas del crimen en AL y el Caribe,  5 veces más altas que la media global",https://www.jornada.com.mx/2023/10/20/economia/022n2eco?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","América Latina y el Caribe tiene tasas de delincuencia hasta cinco veces superiores a la media mundial, lo que está limitando el crecimiento de la economía, al reducir la acumulación de capital y la productividad, expuso el Fondo Monetario Internacional."
En una semana han hallado tres cadáveres en el Suchiate,https://www.jornada.com.mx/2023/10/20/estados/033n3est?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Tapachula, Chis., Los cuerpos de al menos tres personas han sido encontrados en la última semana en el río Suchiate, limítrofe entre México y Guatemala, zona de cruce de migrantes, de acuerdo con reportes de la policía."
PDVSA busca reanudar contratos tras el cese de las sanciones de EU,https://www.jornada.com.mx/2023/10/20/mundo/029n1mun?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Caracas. La petrolera estatal venezolana PDVSA comenzó ayer a contactar a clientes para firmar contratos de suministro de crudo en medio del levantamiento temporal de las sanciones de Estados Unidos a la industria, en busca de ampliar sus ventas en efectivo a refinadores globales, declararon dos fuentes a la agencia noticiosa Reuters."
"En la UNAM, “ni un paso atrás por  la igualdad”, señala Graue",https://www.jornada.com.mx/2023/10/20/politica/013n2pol?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","El rector de la Universidad Nacional Autónoma de México (UNAM), Enrique Graue Wiechers, señaló que la institución no debe dar “ni un paso atrás por la igualdad”, y saludó el papel de las diversidades y disidencias sexogenéricas que han acompañado a la máxima casa de estudios en el diseño e implementación de acciones en favor de la igualdad de género."
Agencias extranjeras buscaron culpar al Ejército del caso Ayotzinapa: AMLO,https://www.jornada.com.mx/2023/10/20/politica/010n1pol?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Intereses y agencias extranjeras buscaban que se culpara al Ejército Mexicano en su conjunto de la desaparición de los 43 normalistas de Ayotzinapa, para debilitar a las instituciones del país y poder “mandar”, aseguró ayer el presidente Andrés Manuel López Obrador."
Ordena INE a Morena retirar spot sobre entrega de bastón de mando,https://www.jornada.com.mx/2023/10/20/politica/015n2pol?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","La Comisión de Quejas y Denuncias del Instituto Nacional Electoral (INE) ordenó el retiro del promocional en el cual Morena resalta, sin nombrarla, que Claudia Sheinbaum, ya recibió el bastón de mando por parte del fundador de este partido."
"Impulsar la educación a distancia con buena docencia, propone Lomelí Venegas",https://www.jornada.com.mx/2023/10/20/sociedad/038n2soc?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Porque el conocimiento cambia de manera acelerada, el secretario general de la UNAM, Leonardo Lomelí Venegas, expresó que si llega a ser rector buscará que la institución amplíe su potencial para utilizar las plataformas de educación a distancia, pero sin olvidar que la tecnología no suple a la buena docencia."
Laporta: “no  hay fundamento  para imputarme”,https://www.jornada.com.mx/2023/10/20/deportes/a10n4dep?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Barcelona. El presidente del Barça, Joan Laporta, afirmó que el escándalo por unos pagos de su club a empresas del ex dirigente arbitral José María Enríquez Negreira, acabará en nada, porque “no hay fundamento para imputarme, ni cohecho ni delito continuado”. En una entrevista con la emisora Catalunya Radio aseguró: “Podemos estar tranquilos, no lo han podido probar (que los pagos fueron para comprar árbitros), ni podrán hacerlo. Será una sentencia absolutoria”."
Meryl Streep causa revuelo en Oviedo antes de recibir el Premio Princesa de Asturias,https://www.jornada.com.mx/2023/10/20/espectaculos/a07n1esp?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Madrid. Horas después de hacer gala de su espontaneidad bailando al ritmo de las gaitas a las puertas del hotel de La Reconquista en su recibimiento oficial en Oviedo con motivo de los Premios Princesa de Asturias, Meryl Streep protagonizó otro momento para el recuerdo. Y lo hizo con Antonio Banderas, con el que mantuvo un encuentro muy especial en el que quedó de manifiesto su gran amistad y el cariño que se profesan."
"“Crimen atroz”, los ataques a civiles en Gaza: Arabia Saudita",https://www.jornada.com.mx/2023/10/20/politica/006n2pol?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Riad. El príncipe heredero de Arabia Saudita, Mohamed bin Salmán, subrayó ayer al primer ministro de Gran Bretaña, Rishi Sunak, la necesidad de reducir la escalada en la franja de Gaza para evitar repercusiones peligrosas sobre la seguridad y la paz en la región y más allá, al condenar enérgicamente los ataques contra civiles en Gaza, describiéndolos como un “crimen atroz y un ataque brutal”."
Turnan a SCJN recurso contra reducción de sentencia para Aburto,https://www.jornada.com.mx/2023/10/20/politica/016n2pol?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Un tribunal colegiado turnó a la Suprema Corte de Justicia de la Nación (SCJN) el recurso de revisión que presentó la Fiscalía General de la República (FGR) respecto a la disminución de sentencia para Mario Aburto Martínez, homicida confeso de Luis Donaldo Colosio Murrieta."
Transparencias y reflejos,https://www.jornada.com.mx/2023/10/20/cultura/a05n2cul?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT",
La FIL del Zócalo evocó la vida de activismo de Adolfo Gilly,https://www.jornada.com.mx/2023/10/20/cultura/a05n1cul?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Tres meses después de su fallecimiento, acaecido el 4 de julio en vísperas de cumplir 95 años, el historiador y politólogo Adolfo Gilly (1928-2023) recibió el miércoles un homenaje póstumo en la 23 Feria Internacional del Libro (FIL) del Zócalo."
"Además de Encinas, Sheinbaum sumará a más funcionarios federales a su equipo",https://www.jornada.com.mx/2023/10/20/politica/015n3pol?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Zacatecas, Zac., Tras reunirse con la militancia morenista en Zacatecas, la coordinadora nacional de los comités de defensa de la Cuarta Transformación, Claudia Sheinbaum Pardo, dijo ayer que habrá más personas que se sumarán a su equipo, como recién lo hizo Alejandro Encinas Rodríguez, ex subsecretario de la Secretaría de Gobernación."
Hermann Bellinghausen: Nacidos en la antesala del infierno,https://www.jornada.com.mx/2023/10/20/cultura/a04a1cul?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Una decena de niños y niños de Gaza en quienes uno no percibe rastros de lo “animal”, lo despreciable, ni de las “pequeñas serpientes” que describe la alta propaganda del régimen israelí. Su común denominador es que nacieron allí. Personajes reales, encantadores, pero tan, tan tristes. Y tan increíblemente fuertes. Con una claridad expresiva que denota, si no educación, civilización e inteligencia superiores y muy heridas. El documental Nacidos en Gaza, del periodista y realizador de origen argentino Hernán Zin, con amplia carrera en España, debería ser obligatorio en todas las escuelas del mundo. Empezando por las de Israel."
Pacta AMLO con activista donación de casa para apoyar a discapacitados,https://www.jornada.com.mx/2023/10/20/politica/015n1pol?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT",Una residencia de una de las zonas más exclusivas de la Ciudad de México –que fue decomisada al crimen organizado– será donada por el gobierno federal a un activista en favor de los derechos de las personas con discapacidad motriz severa para convertirla en un centro de atención a ese sector.
Acuden 2 mil al sepelio del líder de la UPOEG en San Luis Acatlán,https://www.jornada.com.mx/2023/10/20/estados/033n1est?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Chilpancingo, Gro., Alrededor de 2 mil personas acudieron al sepelio del dirigente y fundador de la Unión de Pueblos y Organizaciones del Estado de Guerrero (UPOEG), Bruno Plácido Valerio, asesinado el martes pasado, el cual se llevó a cabo en la comunidad de Buenavista, municipio de San Luis Acatlán, ubicado en la Costa Chica de Guerrero."
Buenavista del Cobre usará grupo de choque: activistas,https://www.jornada.com.mx/2023/10/20/estados/031n1est?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Hermosillo, Son., Grupo México, consorcio propiedad de Germán Larrea Mota Velasco, reforzó la seguridad en la mina Buenavista del Cobre, ubicada en el municipio de Cananea, con elementos de una empresa privada que arribaron al yacimiento en seis autobuses."
"En 10 años, aumentó a 30 mil casos el cáncer de mama",https://www.jornada.com.mx/2023/10/20/politica/013n1pol?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","En la pasada década prácticamente se duplicó la incidencia de cáncer de mama en México, al pasar de 18 mil nuevos casos en 2012 a 30 mil en 2022, afirmó Claudia Arce Salinas, responsable del Departamento de Oncología Médica del Instituto Nacional de Cancerología (Incan)."
Aprueban diputados la Ley de Ingresos en lo particular,https://www.jornada.com.mx/2023/10/20/politica/018n1pol?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","La Cámara de Diputados aprobó la madrugada de este viernes en lo particular la Ley de Ingresos de la Federación 2024, a la que sólo le hicieron tres cambios, entre ellos “suavizar” el aumento de la tasa del impuesto sobre la renta (ISR) que se cobrará a clientes de bancos por los intereses obtenidos por ahorros e inversiones."
AMLO despide con aplauso a Encinas; lo releva ex procurador fiscal Medina,https://www.jornada.com.mx/2023/10/20/politica/011n1pol?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Arturo Medina Padilla, ex procurador fiscal de la Secretaría de Hacienda, es el sustituto de Alejandro Encinas Rodríguez en la Subsecretaría de Derechos Humanos, Población y Migración de la Secretaría de Gobernación, quien se va a “participar en actividades político-electorales”, anunció ayer el presidente Andrés Manuel López Obrador en Palacio Nacional."
El Correo Ilustrado,https://www.jornada.com.mx/2023/10/20/opinion/002a2cor?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","En México, la Constitución establece que ningún funcionario debe ganar más que el Presidente. Sin embargo, algunos magistrados del Poder Judicial parecen vivir en un mundo aparte."
“Tesla se queda en México; es lo que sabemos ”: Gabriel Yorio,https://www.jornada.com.mx/2023/10/20/economia/025n3eco?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","“Tesla se queda en México, es la información que tenemos”, declaró el pasado 17 de octubre el subsecretario de Hacienda, Gabriel Yorio González, durante su comparecencia frente a la Comisión de Hacienda y Crédito Público de la Cámara de Diputados. Al día siguiente, el presidente ejecutivo de la automotriz, Elon Musk, reconoció a analistas que estaba dudando sobre sus planes de instalar una fábrica en el país, a la luz de las perspectivas económicas y el efecto de las tasas de interés."
"Reitera la Corte:   la fiscal general, Consuelo Porras, “inamovible”",https://www.jornada.com.mx/2023/10/20/mundo/030n1mun?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Guatemala. La Corte de Constitucionalidad de Guatemala confirmó ayer que la fiscal general, Consuelo Porras, sólo puede ser destituida cuando enfrente una condena con sentencia en firme y por decisión del presidente, ante las protestas que exigen su renuncia por la arremetida judicial que ha llevado contra el proceso electoral."
El peso y la BMV ligan tres sesiones a la baja,https://www.jornada.com.mx/2023/10/20/economia/027n2eco?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","El peso cerró la sesión de este jueves en 18.32 pesos por dólar, con una depreciación de 0.40 por ciento o 7.2 centavos. Según el Banco de México, el tipo de cambio mostró una alta volatilidad al tocar un máximo de 18.3975 y un mínimo de 18.1607 pesos por dólar. Con esto, la moneda mexicana ligó tres sesiones con pérdidas."
"Biden, por más dinero para la guerra: “liderazgo estadunidense” une al orbe",https://www.jornada.com.mx/2023/10/20/politica/005n1pol?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Washington. “Cuando los dictadores no pagan un precio por su agresión, causan más caos y muerte y más destrucción”, aseveró ayer el presidente estadundiende, Joe Biden, al anunciar que hoy solicitará miles de millones de dólares para ayudar a Ucrania e Israel, y advirtió: “estamos ante un punto de inflexión en la historia. Uno de esos momentos en los que las decisiones que tomemos hoy van a determinar el futuro en las próximas décadas”."
"Planean eliminar poderes en San Martín Itunyoso, Oaxaca",https://www.jornada.com.mx/2023/10/20/estados/032n3est?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Oaxaca, Oax., El secretario de Gobierno del estado, Jesús Romero López, informó que solicitará al Congreso local la desaparición de poderes en el municipio de San Martín Itunyoso, ubicado en la región de la Mixteca, luego de que el pasado martes fue asesinado el síndico Andrés Guzmán Rodríguez, junto con su esposa e hija; aseguró que este triple homicidio se debió a conflictos políticos."
Suman 13 días de bombardeos incesantes en la franja de Gaza,https://www.jornada.com.mx/2023/10/20/politica/004n1pol?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Jan Yunis. Israel bombardeó ayer la franja de Gaza, incluso en el sur, adonde pidió a los palestinos que se desplazaran desde el norte para evitar algún ataque de la incursión terrestre que planea lanzar, mientras el ministro de Defensa israelí, Yoav Gallant, llamó a su infantería a que se prepare para invadir, aunque no precisó cuándo."
Mummenschanz festeja en Guanajuato 50 años de fantasía con toques de sátira,https://www.jornada.com.mx/2023/10/20/cultura/a02n1cul?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Guanajuato, Gto., Con personajes como máscaras de arcilla, caras de papel higiénico, gigantes llenos de aire, criaturas de la tubería y músicos del silencio, la compañía suiza Mummenschanz, para celebrar su 50 aniversario, se presenta en la edición 51 del Festival Internacional Cervantino (FIC)."
"Gr-1, especialista en rehabilitación",https://www.jornada.com.mx/2023/10/20/ciencias/a06n3cie?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT",
Rojiblancas remontan 2-1 en el clásico tapatío,https://www.jornada.com.mx/2023/10/20/deportes/a11n1dep?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Chivas logró recuperarse de un gol tempranero al remontar el marcador y vencer 2-1 al Atlas, ayer en el clásico tapatío de la Liga Mx Femenil, disputado en el estadio Jalisco."
"Ejecutan al director de policía de Hidalgo, NL",https://www.jornada.com.mx/2023/10/20/estados/033n2est?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Dos días después de asumir el cargo de director de la policía del municipio de Hidalgo, Nuevo León, Lucio Trujillo fue ejecutado ayer por un grupo de sicarios que viajaban en tres camionetas y una motocicleta en esa localidad ubicada 40 kilómetros al norte de la zona metropolitana de Monterrey."
Acuerdan Rusia y Norcorea pláticas de seguridad regional,https://www.jornada.com.mx/2023/10/20/mundo/030n2mun?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Moscú. El canciller ruso, Serguei Lavrov, y el líder de Corea del Norte, Kim Jong-un, hablaron ayer en Pyonyang durante una hora, después de que el jefe de la diplomacia del Kremlin ponderó con su colega, Choe Son-hui, el estado actual de la relación bilateral, de acuerdo con un comunicado de su oficina."
La IA ayuda a los médicos a tomar decisiones clínicas y de diagnóstico,https://www.jornada.com.mx/2023/10/20/ciencias/a06n1cie?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Erlangen. El presidente de Siemens Healthineers para Europa, Oriente Medio y África, Bernd Ohnesorge, afirmó que la inteligencia artificial (IA) “no sustituirá a los médicos”, aunque “acabará remplazando a los profesionales que no la utilicen, porque ayuda a tomar mejores decisiones”."
Aprueba el Congreso reformas contra el maltrato animal,https://www.jornada.com.mx/2023/10/20/capital/036n2cap?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","El Congreso de la Ciudad de México aprobó reformas a la Ley de Protección y Bienestar a los Animales que prohíben la venta de especies vivas en la calle, mercados públicos, sobre ruedas y móviles, así como en tianguis y bazares."
"Digna Ochoa: a 22 años, aún exigen justicia",https://www.jornada.com.mx/2023/10/20/politica/011n2pol?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Familiares y organizaciones defensoras de las garantías fundamentales exigieron que se avance en el cumplimiento de la sentencia de la Corte Interamericana de Derechos Humanos (Coridh) sobre la muerte de la abogada y activista Digna Ochoa y Plácido, ultimada con un balazo en la cabeza en su despacho, el 19 de octubre de 2001 en la capital del país."
Impugna el gobierno lineamientos del IECM sobre retiro de propaganda,https://www.jornada.com.mx/2023/10/20/capital/035n1cap?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT",El Gobierno de la Ciudad de México impugnó los lineamientos emitidos por el Instituto Electoral local (IECM) por considerar que se excedió en sus funciones al ordenar a las alcaldías y a la autoridad central el borrado de bardas y el retiro de propaganda política aun cuando no contenga llamado al voto.
"Presentar denuncias en el Ministerio Público, un calvario para víctimas",https://www.jornada.com.mx/2023/10/20/capital/034n1cap?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","La víctima de un delito se enfrenta a “un calvario para presentar una denuncia”. No sólo es el miedo, sino ver en qué agencia del Ministerio Público hacerla y el mal trato que muchas veces ahí reciben de los servidores, quienes “te aconsejan que si no es grave no la hagas para evitarte problemas y pérdida de tiempo, dinero y esfuerzos”, relataron entrevistados."
Beijing Dance Theater comunica temas de la vida con danza y emoción,https://www.jornada.com.mx/2023/10/20/cultura/a03n2cul?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Guanajuato, Gto., Wang Yuanyuan, directora y fundadora de la compañía Beijing Dance Theater, considera que los artistas “tienen la responsabilidad de encontrar algo que realmente sientan desde el corazón”, para compartirlo en sus creaciones."
Buque de armada de EU derribó misiles y drones lanzados por Yemen,https://www.jornada.com.mx/2023/10/20/politica/007n2pol?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Washington. Un buque de la armada de Estados Unidos derribó ayer misiles y drones disparados por rebeldes hutíes en Yemen, posiblemente contra territorio israelí, informó el Pentágono."
Cataluña defiende amnistía y referendo de independencia,https://www.jornada.com.mx/2023/10/20/mundo/030n3mun?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Madrid. El presidente de la comunidad autónoma de Cataluña, Pere Aragonés, defendió ayer ante el Senado español la posible aprobación de una futura ley de amnistía que limpie de antecedentes penales, además de condenas de cárcel y administrativas, a todos los que participaron el proceso fallido de independencia de octubre de 2017, y recordó que ello es la antesala para la celebración de un referendo de independencia."
Bloquean carretera en el Edomex para contener depredación de bosques,https://www.jornada.com.mx/2023/10/20/estados/032n1est?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Isidro Fabela, Méx., Pobladores y comuneros del municipio de Isidro Fabela bloquearon con tierra y cascajo la carretera Tlazala-Otzolotepec, a la altura del paraje Llano de la Orca, para evitar el paso de camiones que trasladan madera talada de forma ilegal de la reserva ecológica del parque Otomí-Mexica, conocida como Bosque de Agua."
"“Sin cumbia no hay tocada”, sostiene La Santa Cecilia",https://www.jornada.com.mx/2023/10/20/cultura/a03n1cul?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Para La Santa Cecilia, “no puede haber una tocada que no lleve cumbia”, afirmó a La Jornada el músico José Carlos González, Pepe, integrante de ese grupo a propósito de su presentación en la edición 51 del Festival Internacional Cervantino (FIC)."
Otra falla y nuevo apoyo,https://www.jornada.com.mx/2023/10/20/capital/035n4cap?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT",
"Hoy, la apertura de paso para el envío de ayuda humanitaria, afirma Egipto",https://www.jornada.com.mx/2023/10/20/politica/004n2pol?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Ismailía. El paso fronterizo de Rafá, único punto de tránsito a la franja de Gaza no controlado por Israel, abrirá para dejar pasar ayuda humanitaria al territorio palestino bombardeado por Israel desde hace 13 días, informó ayer un medio cercano a los servicios de inteligencia egipcios."
Celebra AMLO fallo de la Corte sobre caso fiscal de Salinas Pliego,https://www.jornada.com.mx/2023/10/20/politica/016n1pol?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Como “un triunfo” consideró el presidente Andrés Manuel López Obrador la decisión que se tomó en la Suprema Corte de Justicia de la Nación (SCJN), para ordenar al ministro Luis María Aguilar regresar a tribunales el expediente sobre el adeudo por 25 mil millones de pesos en impuestos de una empresa de Ricardo Salinas Pliego para que ahí se resuelva, ya que el togado lo archivó en su gaveta por nueve meses."
Caída marginal de acciones,https://www.jornada.com.mx/2023/10/20/economia/025n2eco?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","Las acciones de los tres grupos aeroportuarios que operan en el país comenzaron la sesión del jueves con fuertes pérdidas que rozaban 5 por ciento a consecuencia de un aumento en el impuesto que pagan al gobierno y que entrará en vigor en 2024; sin embargo, conforme avanzó la jornada y se aclaró que se trataba de un acuerdo con el Estado, aminoraron sus pérdidas. De acuerdo con la Bolsa Mexicana de Valores, Grupo Aeroportuario del Sureste (Asur), cerró con una baja de 1.98 por ciento en el precio de sus acciones; Grupo Aeroportuario Centro Norte (OMA) terminó con una baja de 0.19 por ciento; mientras Grupo Aeroportuario del Pacífico (GAP) acabó la jornada con una pérdida de 2.35 por ciento."
Norma llega a huracán nivel 3; suspenden clases en BCS,https://www.jornada.com.mx/2023/10/20/estados/031n2est?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","El Consejo Estatal de Protección Civil de Baja California Sur suspendió las labores educativas en el estado para el turno vespertino de este viernes, en previsión de los efectos del huracán Norma, que ayer por la mañana alcanzó la categoría 4 de la escala Saffir-Simpson y en la tarde se degradó a 3. Mientras, autoridades marítimas cerraron el puerto de Manzanillo, Colima, a todo tipo de embarcaciones."
Intereses que cobra la brasileña Nu multiplican por 20 la inflación general,https://www.jornada.com.mx/2023/10/20/economia/024n1eco?partner=rss,"Fri, 20 Oct 2023 09:23:20 GMT","La firma financiera brasileña Nu, especializada en otorgar tarjetas de crédito por medios digitales cuyo costo anual total (CAT) promedio es de 96.5 por ciento, una tasa que multiplica por 20 veces la inflación, dio a conocer este jueves que solicitó a las autoridades su licencia para operar como banco."
